#id arrival runtime priority
1	8	23	4	14
2	9	23	0	136
3	9	21	5	76
4	13	29	8	149
5	15	0	4	93
6	25	24	4	226
7	26	9	7	125
8	28	23	1	240
9	32	12	6	26
10	33	4	2	145
11	35	20	5	217
12	39	19	9	198
13	39	14	4	127
14	48	12	9	168
15	54	5	6	9
16	63	21	6	147
17	71	19	1	9
18	75	8	8	221
19	82	7	6	145
20	92	5	1	134
21	100	15	9	240
22	102	29	3	131
23	103	29	2	79
24	104	1	8	122
25	110	11	5	193
26	119	27	2	30
27	128	7	1	246
28	130	7	8	108
29	137	26	1	190
30	137	28	4	108
31	146	14	7	84
32	148	3	6	193
33	157	9	6	253
34	164	20	10	244
35	165	29	2	227
36	165	8	10	69
37	167	22	5	194
38	170	20	10	67
39	173	1	10	87
40	181	28	1	164
41	183	27	1	23
42	183	23	3	38
43	192	17	2	75
44	194	10	5	53
45	194	9	3	150
46	200	24	2	219
47	207	26	3	135
48	212	8	8	127
49	222	2	5	148
50	228	21	8	2
51	228	7	9	226
52	238	23	3	17
53	247	15	10	57
54	255	18	0	53
55	256	26	5	184
56	261	11	1	103
57	267	29	9	46
58	268	16	2	245
59	272	24	2	135
60	274	17	0	189
61	284	10	1	36
62	292	16	8	162
63	294	14	3	210
64	295	6	8	163
65	302	11	4	191
66	302	12	6	87
67	305	1	5	206
68	314	24	1	108
69	315	10	3	104
70	317	12	8	206
71	327	19	9	240
72	328	17	3	73
73	337	18	10	236
74	345	27	0	217
75	354	27	1	184
76	360	4	2	63
77	361	12	7	50
78	363	3	7	145
79	364	10	10	256
80	371	8	4	121
81	374	1	10	208
82	381	2	9	74
83	381	2	9	82
84	390	18	4	40
85	394	12	1	107
86	394	10	5	241
87	403	9	8	101
88	405	0	7	250
89	408	28	4	140
90	412	26	0	167
91	421	25	10	57
92	429	20	4	203
93	437	12	3	156
94	438	26	6	2
95	448	5	4	49
96	453	19	1	55
97	458	5	5	103
98	461	11	0	33
99	461	21	4	99
100	470	2	8	68
